sleep,-0.382716,-100.000000
stayhome,-0.236736,-61.856834
tea,-0.226220,-59.109104
exercise,-0.206663,-53.999049
oliveoil,-0.196772,-51.414626
egg,-0.191514,-50.040761
potato,-0.145296,-37.964444
milk,-0.137281,-35.870201
salad,-0.130458,-34.087417
cheese,-0.127150,-33.223069
smallveggiewraps,-0.113221,-29.583555
rizo,-0.102987,-26.909510
grape,-0.099210,-25.922564
olives,-0.096761,-25.282612
strawberry,-0.092984,-24.295849
tilapia,-0.092984,-24.295849
earthbalance,-0.090089,-23.539491
musaka,-0.086745,-22.665658
bacon,-0.085122,-22.241636
spinach,-0.069040,-18.039382
fried,-0.069040,-18.039382
pomegranate,-0.069040,-18.039382
turmeric,-0.069040,-18.039382
artichokepie,-0.068390,-17.869543
tempura,-0.066543,-17.387096
fajita,-0.065866,-17.210151
havarti,-0.063053,-16.475245
fish,-0.061510,-16.072022
salmon,-0.059790,-15.622629
watermelon,-0.057416,-15.002143
halfnhalf,-0.053603,-14.006078
parmesan,-0.052494,-13.716307
greenbeans,-0.049912,-13.041524
atkinsbar,-0.043680,-11.413058
hotdog,-0.043263,-11.304257
frenchtoast,-0.041822,-10.927816
wine,-0.035360,-9.239305
thinpretzel,-0.032495,-8.490656
chicken,-0.029927,-7.819506
carrot,-0.028395,-7.419418
cherry,-0.028139,-7.352345
beans,-0.027681,-7.232648
icecream,-0.022640,-5.915561
whitenectarine,-0.020826,-5.441711
crab,-0.020001,-5.226173
sugaryogurt,-0.016819,-4.394538
plum,-0.009466,-2.473395
falafel,-0.006843,-1.787916
frappuccino,-0.002968,-0.775528
granola,0.002490,0.650621
soup,0.004889,1.277368
quinoa,0.005071,1.324888
peas,0.005071,1.324888
avocado,0.006244,1.631528
peanut,0.007497,1.958795
coleslaw,0.010872,2.840827
nectarine,0.011460,2.994335
Constant,0.012937,3.380339
thaisoup,0.015278,3.992099
veggieburger,0.015278,3.992099
nuggets,0.016546,4.323284
gyoza,0.018077,4.723424
cocoa,0.019599,5.121160
knish,0.024240,6.333783
pizza,0.024843,6.491210
butter,0.030661,8.011476
couscous,0.032273,8.432571
coffeecandy,0.033405,8.728378
brownrice,0.037116,9.697922
shrimp,0.037116,9.697922
sushi,0.037317,9.750651
date,0.037487,9.795122
chocolate,0.042614,11.134627
grilledonion,0.045337,11.846042
snapple,0.045855,11.981495
granolabar,0.045856,11.981704
dietsnapple,0.047286,12.355454
croissant,0.047648,12.449963
cookie,0.048246,12.606215
ham,0.048412,12.649589
eggpie,0.048412,12.649589
sausage,0.048412,12.649589
peanuts,0.050046,13.076485
clementine,0.050129,13.098250
pistachio,0.051432,13.438738
mottsfruitsnack,0.053621,14.010650
thinkthinbar,0.055022,14.376796
splenda,0.055328,14.456699
gefiltefish,0.059693,15.597075
peach,0.060725,15.866831
cornbread,0.060725,15.866831
cheeseburger,0.060769,15.878380
indian,0.062317,16.282962
giro,0.063546,16.603879
driedapple,0.067056,17.521112
meat,0.070445,18.406678
反轉厚奶酥,0.071643,18.719677
coconutbar,0.072281,18.886328
bun,0.075608,19.755720
apple,0.075952,19.845394
coconut,0.079149,20.680949
rice,0.080763,21.102671
sorbet,0.080861,21.128069
pita,0.085106,22.237482
gummybears,0.086567,22.619227
schnitzel,0.086707,22.655755
icecreamsandwich,0.087506,22.864500
friedrice,0.087918,22.972204
trailmix,0.087983,22.989162
tomatosoup,0.088385,23.094200
hummusroll,0.088385,23.094200
melon,0.088800,23.202662
mango,0.089119,23.285935
sugarlemonade,0.091124,23.809796
breadedshrimp,0.092742,24.232460
hummus,0.099305,25.947360
danish,0.101610,26.549713
bbqsauce,0.108327,28.304800
meatball,0.108508,28.352094
dietcoke,0.111446,29.119765
beet,0.112058,29.279675
sweetjapanese,0.112593,29.419465
麥當勞,0.119318,31.176643
quesadilla,0.121439,31.730840
corn,0.121439,31.730840
frenchfries,0.123595,32.294182
nathans,0.126282,32.996269
rogalach,0.126282,32.996269
pasta,0.126500,33.053230
ketchup,0.128429,33.557259
tofee,0.145417,37.996060
beef,0.156719,40.949163
caramelizedwalnut,0.162784,42.533889
bagel,0.163788,42.796225
kettlecorn,0.164231,42.911977
bread,0.173016,45.207412
breadedchicken,0.176970,46.240554
brownie,0.177512,46.382174
nosleep,0.266988,69.761390
