FeatureName,Influence,Score
冰淇淋,-0.239622,-90.285413
豆漿,-0.127196,-47.925246
洋芋片,-0.126714,-47.743637
Coco咖哩飯,-0.120158,-45.27345
番茄蛋炒飯,-0.119811,-45.142706
章魚燒,-0.111182,-41.891449
奇多,-0.111182,-41.891449
清原芋圓_小芋圓熟成奶茶,-0.104985,-39.556527
麥當勞_套餐-麥香鷄,-0.104985,-39.556527
玉米片,-0.101606,-38.283378
燒肉飯,-0.09317,-35.104689
韓式炸雞便當,-0.090565,-34.12317
泰式冷麵,-0.090565,-34.12317
棉花糖,-0.086261,-32.501498
煲仔飯,-0.086261,-32.501498
滷味盤,-0.086089,-32.436879
烤甜不辣,-0.086089,-32.436879
雞排蛋包飯,-0.076147,-28.69068
Constant,-0.075472,-28.436653
陽春麵,-0.065764,-24.778885
炒飯,-0.065096,-24.526931
泰式雞腿排飯,-0.062823,-23.670504
麥當勞,-0.051878,-19.546844
蛋餅,-0.047296,-17.820312
麵,-0.045282,-17.061585
麵包,-0.03053,-11.503099
紅茶,-0.025427,-9.580377
煎餃,-0.020728,-7.809913
排骨便當,-0.018536,-6.984006
果汁,-0.012798,-4.822064
麥茶,-0.009288,-3.499659
小饅頭,-0.00214,-0.80642
餛飩麵,-0.00072,-0.271317
水餃,0.005356,2.018033
蔬菜,0.00571,2.151565
蛋,0.012289,4.630244
雞排便當,0.012625,4.756919
鮮奶,0.014632,5.512933
炒泡麵,0.018552,6.990185
薯條,0.020093,7.570732
蝦捲,0.020093,7.570732
定食,0.020093,7.570732
果醬吐司,0.021669,8.164315
Yogurt,0.033498,12.621315
漢堡,0.037462,14.114994
巧克力蛋糕,0.040186,15.141501
玉米筍,0.040365,15.208794
壽山_香腸,0.04584,17.271604
壽山_人氣組合餐,0.04584,17.271604
不想紅豆餅_原味雞蛋糕,0.04584,17.271604
2022-10-24,0.04584,17.271604
55,0.04584,17.271604
白飯,0.053823,20.279422
臭豆腐,0.056889,21.434713
牛奶布丁,0.063744,24.017671
餐,0.064404,24.266461
飲料,0.067278,25.34907
牛肉麵,0.083187,31.343607
皮蛋,0.083187,31.343607
麻辣燙,0.083187,31.343607
御飯糰,0.086452,32.573501
大腸麵線,0.087769,33.06995
壽司,0.087769,33.06995
米漿,0.087769,33.06995
蘋果,0.09586,36.118234
IKEA,0.097497,36.735028
炸雞,0.109603,41.296509
三明治,0.109678,41.324768
火鍋,0.109678,41.324768
梅酥雞便當大,0.120947,45.570732
餅乾,0.132702,49.999812
豬肉,0.16146,60.835327
肉湯圓,0.16146,60.835327
義大利麵,0.176116,66.357454
麻糬煎餅,0.265405,100.0
